Nodes,Traffic,Network Load,Cycles Simulated,End Simulation,Send Packets,Recieved Packets,Achieved Throughput,Average Latency,Router Traversals,Avg Router Traversals,Link Traversals,Avg Network Hop Count,OPort Link,Simulation Runtime
16,0,0.1,10000,152,16,16,0.0004,50.5,37,2.3125,21,1.3125,16,0.002618
16,0,0.2,10000,138,16,16,0.0004,53.25,39,2.4375,23,1.4375,16,0.001848
16,0,0.3,10000,109,16,16,0.0004,54.25,40,2.5,24,1.5,16,0.001564
16,0,0.4,10000,81,16,16,0.0004,56.5,42,2.625,26,1.625,16,0.001495
16,0,0.5,10000,81,16,16,0.0004,56.5,42,2.625,26,1.625,16,0.001334
16,0,0.6,10000,82,16,16,0.0004,58.8125,43,2.6875,27,1.6875,16,0.001259
16,0,0.7,10000,76,16,16,0.0004,56.875,42,2.625,26,1.625,16,0.001352
16,0,0.8,10000,76,16,16,0.0004,58.5,43,2.6875,27,1.6875,16,0.001161
16,0,0.9,10000,72,16,16,0.0004,52.5,38,2.375,22,1.375,16,0.001132
16,0,1,10000,74,16,16,0.0004,60,44,2.75,28,1.75,16,0.001071
16,4,0.1,10000,229,16,16,0.0004,64,48,3,32,2,16,0.001243
16,4,0.2,10000,130,16,16,0.0004,64.1875,48,3,32,2,16,0.001176
16,4,0.3,10000,94,16,16,0.0004,64.125,48,3,32,2,16,0.001133
16,4,0.5,10000,87,16,16,0.0004,64.375,48,3,32,2,16,0.001065
16,4,0.6,10000,85,16,16,0.0004,64,48,3,32,2,16,0.001086
16,4,0.7,10000,81,16,16,0.0004,64.3125,48,3,32,2,16,0.00103
16,4,0.8,10000,76,16,16,0.0004,64,48,3,32,2,16,0.001013
16,4,0.9,10000,85,16,16,0.0004,64,48,3,32,2,16,0.001024
16,4,1,10000,68,16,16,0.0004,64,48,3,32,2,16,0.000959
16,8,0.1,10000,223,16,16,0.0004,44.4375,32,2,16,1,16,0.000866
16,8,0.2,10000,114,16,16,0.0004,44,32,2,16,1,16,0.000805
16,8,0.3,10000,86,16,16,0.0004,44.75,32,2,16,1,16,0.000778
16,8,0.4,10000,65,16,16,0.0004,44.25,32,2,16,1,16,0.000778
16,8,0.5,10000,67,16,16,0.0004,44.5625,32,2,16,1,16,0.000768
16,8,0.6,10000,65,16,16,0.0004,44.0625,32,2,16,1,16,0.00079
