Ave Lat	Max Lat	Min Lat	Cycle
64	64	64	64
64	64	64	65
64	64	64	66
64	64	64	67
64	64	64	68
64	64	64	69
64	64	64	71
64	64	64	73
64	64	64	77
69.23	79	64	80
72.71	79	64	81
74.59	79	64	81
73.36	79	64	82
72.78	79	64	83
73.35	79	64	84
72.31	79	64	86
73.82	79	64	87
73.99	79	64	89
72.08	79	64	93
77.79	93	64	96
82.67	94	64	97
83.78	94	67	97
82.89	94	64	98
82.34	94	64	99
82.25	94	64	100
82.19	94	64	102
81.4	94	64	103
82.42	94	64	105
82.06	94	64	108
84.99	106	64	112
93.66	109	64	113
92.41	107	66	113
91.63	109	64	114
91.6	108	64	115
92.03	107	64	116
91.95	109	65	117
90.9	107	64	119
91.99	108	64	121
91.48	109	68	124
92	108	64	128
103.86	121	79	128
101.08	121	64	129
100.73	122	73	130
101.24	124	66	131
101.91	122	64	132
100.98	124	64	133
101.03	120	77	134
101.71	121	68	136
99.57	122	64	139
101.09	122	64	143
109.9	131	68	144
110.24	134	70	145
110.41	133	76	146
112.33	134	83	147
111.88	137	65	147
111.27	138	75	148
108.35	132	75	150
109.68	133	64	152
109.55	134	64	154
109.71	133	71	158
116.09	145	75	160
119.56	146	75	161
121.72	143	84	161
121.55	147	82	162
119.25	150	70	163
122.57	147	89	164
117.24	143	78	166
120.11	148	64	167
120.23	148	79	169
117.8	145	64	172
122.23	160	64	176
129.26	158	85	177
130.37	158	96	177
131.22	158	73	178
127.92	164	82	179
130.18	161	88	180
129.58	157	89	181
128.84	160	76	183
128.13	163	78	185
125.5	159	73	188
130.56	172	78	192
139.73	172	81	192
139.76	171	83	193
137.79	173	93	194
138.7	174	87	195
138.28	175	97	196
139.69	171	100	197
138.56	169	87	199
138.61	166	91	200
135.88	173	92	203
138.61	169	85	207
147.51	184	102	208
146.81	184	88	209
146.46	186	99	210
149.27	189	91	211
147.93	177	103	212
149.05	185	96	213
145.65	181	93	214
147.3	181	92	216
146.08	187	91	218
147.87	184	96	222
152.69	199	101	224
156.17	199	86	225
158.08	197	112	225
158.86	203	103	226
157.15	189	108	227
158.92	199	112	228
153.11	195	87	230
157.97	195	103	231
156.92	202	102	233
157.16	199	92	237
159.26	214	104	240
165.66	212	88	241
167.62	210	111	241
168.43	210	118	242
168.06	214	121	243
166.51	211	118	244
164.56	206	86	245
164.5	210	100	247
166.15	200	117	249
164.26	214	90	252
168.18	223	112	256
177.11	223	93	256
177.05	223	111	257
174.92	223	103	258
177.23	224	130	259
176.8	220	114	260
174.65	217	83	261
174.05	225	113	263
174.13	209	100	264
172.84	224	116	267
175.7	218	105	271
184.51	238	131	272
184.65	237	104	273
183.65	232	115	274
188.69	236	146	275
186.61	226	98	276
185.66	233	98	277
182.41	232	122	278
182.04	225	113	280
183.93	238	121	282
185.5	231	114	286
190.65	249	131	288
193.09	248	113	289
195.5	248	113	290
197.62	250	149	290
195.37	241	140	291
196.2	243	113	292
189.45	241	107	294
192.2	237	109	296
195.04	252	133	298
193.5	238	113	301
195.83	264	144	304
202.63	263	121	305
205.51	253	119	305
207.52	256	161	306
202.57	260	147	307
204.85	256	125	308
200.63	245	118	309
201.84	252	145	311
203.62	242	124	313
201.35	267	119	316
205.07	270	149	320
213.19	277	133	320
215.68	264	116	321
214.26	264	149	322
211.7	274	128	323
215.51	256	135	324
211.24	269	130	325
210.72	265	149	327
213.54	252	135	328
210.44	271	151	331
213.18	260	128	335
221.66	282	154	336
224.35	284	127	337
220.1	277	140	338
225.53	284	141	339
224.06	271	142	340
221.7	280	140	341
220.47	278	146	342
220.88	274	141	344
221.44	276	153	347
223.02	273	139	351
227.02	287	165	352
233.03	296	136	353
233.99	292	155	354
235.25	286	156	354
231.56	285	174	355
233.72	294	155	356
225.75	277	153	358
229.64	291	150	360
231.37	287	159	362
230.86	290	153	365
234.88	299	133	368
240.39	305	148	369
246.34	305	162	369
244.26	292	173	370
238.75	301	170	371
243.03	307	166	372
236.86	294	162	374
240.8	295	167	375
239.76	289	159	377
239.04	305	164	380
241.06	313	139	384
252.41	316	173	384
253.02	318	153	385
252.62	310	174	386
248.05	315	183	387
251.61	310	178	388
248.08	322	174	389
247.82	307	187	391
249.42	302	171	393
248.04	316	181	395
249.61	313	151	400
261.1	324	178	400
261.59	331	166	401
258.59	316	176	402
261.94	329	199	403
259.2	322	164	404
256.41	331	188	405
257.63	322	189	406
255.98	316	179	408
259.94	330	192	411
259.68	323	161	415
269.37	339	183	416
268.01	330	170	417
269.62	346	183	418
271.64	340	206	419
266.59	333	171	419
270.37	339	199	420
262.98	320	197	422
266.16	329	181	424
267.79	330	192	426
271.12	341	197	429
272.1	354	174	432
278.58	335	169	433
283.8	359	206	433
278.46	347	197	434
276.95	347	170	435
279.65	343	211	436
272.27	338	195	438
276.02	335	185	439
276.75	337	200	441
277.83	355	191	444
279.17	335	184	448
290.62	361	212	449
291.07	374	172	449
289.61	350	185	450
286.11	362	171	451
287.86	351	208	452
283	355	210	453
284.39	346	215	455
285.03	350	200	457
286.73	355	190	460
287.87	361	185	464
301.36	373	216	464
300.03	366	165	465
293.53	364	197	466
299.04	374	184	467
297.72	364	223	468
293.34	362	217	469
295.45	356	223	470
291.31	362	213	472
297.3	369	204	475
297.99	368	196	479
307.34	388	227	480
306.72	370	179	481
306.56	381	210	482
309.18	387	235	483
303	377	198	483
310.45	369	238	484
300.77	367	232	486
301.17	370	226	488
305.6	375	215	490
309.18	375	228	493
308.97	401	211	496
317.68	384	187	497
322.09	396	237	497
316.22	400	212	498
312.55	371	207	499
319.62	382	246	500
309.02	374	237	502
314.51	382	238	503
314.17	383	224	505
313.75	385	221	508
316.9	380	214	512
327.42	416	210	513
328.92	407	199	513
326.66	399	220	514
322.57	403	217	515
328.8	389	254	516
319.72	386	243	517
321.07	394	253	519
323.9	397	233	521
321.96	397	233	524
326.2	384	229	528
338.1	428	253	528
337.31	410	203	529
333.08	414	234	530
334.22	412	231	531
336	400	257	532
332.48	398	248	533
331.25	405	262	534
329.52	411	250	536
333.48	410	241	539
335.91	405	244	543
345.21	436	255	544
341.88	418	217	545
345.2	429	233	546
346.7	422	267	547
343.27	406	246	547
347.36	408	272	549
338.05	419	262	550
335.87	426	258	552
342.73	425	251	554
346.63	413	266	558
347.38	451	253	560
356	430	220	561
359.63	441	273	561
353.45	433	248	562
350.76	410	257	563
356.19	419	277	564
345.58	410	275	566
351.77	439	273	567
350.87	437	265	569
351.5	431	262	572
356.91	465	260	576
363.01	445	230	577
366.94	440	230	577
364.08	447	255	578
360.12	447	269	579
366.26	427	290	580
358.16	427	288	581
358.18	443	285	583
361.02	450	278	585
359.51	449	265	588
366.25	451	270	592
374.57	472	279	592
375.1	445	241	593
372.24	458	268	594
370.35	459	282	595
375.6	435	304	596
369.52	442	297	597
368.51	453	292	599
366.6	464	270	600
370.72	453	267	603
375.31	444	284	607
382.15	485	283	608
378.6	447	252	609
383.39	473	275	610
383.66	473	299	611
381.28	450	284	612
383.01	451	310	613
376.7	450	301	614
373.83	473	278	616
381.03	468	280	618
383.76	456	297	622
385.08	493	286	624
393.71	461	259	625
395.18	488	302	625
391.38	477	288	626
387.92	460	299	627
395.26	466	314	628
383.79	457	306	630
386.99	473	291	631
387.3	483	291	633
389.42	479	295	637
394.36	507	291	640
400.2	463	278	641
404.48	477	257	641
403.28	502	301	642
397.28	490	310	643
404.72	473	328	644
396.38	472	314	645
394.81	483	329	647
396.26	486	295	649
395.31	493	296	652
401.93	485	294	656
411.24	504	320	656
414.68	486	267	657
411.62	514	312	658
405.39	503	319	659
413.17	483	342	660
405.01	487	312	661
405.46	477	300	663
403.2	494	305	664
407.05	498	285	667
409.67	486	332	671
419.23	517	307	672
419.39	501	273	673
419.16	523	315	674
420.7	512	333	675
420.57	495	334	676
419.82	499	344	677
415.85	487	321	678
408.39	508	303	680
417.91	504	300	682
419.87	494	336	686
423.41	532	317	688
428.84	506	278	689
431.63	536	322	690
430.74	516	338	690
425.97	502	336	691
433.8	504	360	692
422.7	513	333	694
422.91	518	318	696
425.23	514	312	698
427.86	518	346	701
430.57	546	319	704
436.59	513	288	705
441.08	541	321	705
440.68	544	342	706
432.67	516	342	707
444.78	516	367	708
434.05	524	344	709
433.13	526	333	711
435.39	533	317	713
433.27	533	329	716
437.32	532	334	720
446.51	561	332	720
450.74	528	278	721
451.11	554	333	722
439.48	521	347	723
454.69	530	363	724
444.03	530	347	725
443.99	520	341	727
443.17	540	345	728
444.23	547	329	731
446.96	524	359	735
455.47	574	348	736
456.81	540	275	737
455.02	567	345	738
456.1	554	359	739
460.86	545	358	740
458.06	539	383	741
453.77	532	346	742
446	555	356	744
455.88	547	344	747
457.48	535	367	751
460.29	578	357	752
463.18	552	289	753
467.23	581	353	754
469.2	560	361	754
463.04	560	359	755
473.89	550	403	756
459.69	554	360	758
459.04	553	363	760
462.26	554	355	762
467.04	560	393	765
467.73	587	370	768
472.43	555	299	769
478.85	580	372	769
476.03	596	360	770
471.61	558	361	771
482.97	575	410	772
470.09	557	371	774
470.78	559	378	775
472.07	569	370	777
472.44	572	376	780
476.64	584	381	784
483.42	597	356	784
485.48	563	292	785
485.76	599	370	786
476.9	569	370	787
492.54	590	407	788
481.34	571	380	789
480.69	570	387	791
479.6	584	382	793
482.89	587	385	795
484.14	579	392	800
492.57	605	363	800
494.73	575	304	801
492.09	600	375	802
490.88	583	389	803
500.07	604	375	804
492.82	583	395	805
493.27	580	394	806
482.39	599	383	808
494.97	588	388	811
493.55	586	416	815
499.22	618	403	816
500.93	579	308	817
503.28	615	387	818
503.85	594	401	819
503.25	618	389	819
510.8	591	422	820
498.31	594	403	822
496.55	612	392	824
500.68	586	387	826
503.93	603	419	829
506.15	633	416	832
510.5	591	322	833
515.71	602	392	833
510.76	630	393	834
509.91	615	390	835
519.83	622	425	836
508.99	594	412	838
507.52	603	420	839
509.89	618	397	841
510.84	606	412	844
514.34	625	419	848
520.32	643	396	849
522.91	614	335	849
523.93	640	400	850
512.79	615	379	851
531.38	637	434	852
520.98	607	423	853
516.3	618	432	855
518.2	624	411	857
520.14	620	408	860
522.25	615	430	864
533	658	404	864
532.07	625	349	865
529.16	645	410	866
526.89	625	385	867
538.69	638	427	868
530.36	622	428	869
532.32	629	441	870
520.3	632	426	872
533	634	420	875
532.34	611	450	879
538.75	668	441	880
536.3	618	361	881
541.07	642	416	882
541.58	639	440	883
541.38	652	397	883
548.45	636	435	884
534.6	631	432	886
533.34	639	439	888
539.46	644	418	890
541.58	630	464	893
544.46	674	454	896
545.83	632	353	897
554.26	655	432	897
547.68	646	419	898
547.06	657	406	899
557.45	652	449	900
544.07	648	440	902
546.31	649	450	903
546.57	653	429	905
548.75	656	453	908
553.17	658	458	912
554.32	686	405	913
561.19	668	365	913
560.14	670	427	914
552	649	398	915
569.8	667	457	916
556.47	648	453	917
552.52	663	457	919
555.89	660	458	921
556.98	668	440	924
557.67	656	459	928
571.36	701	419	928
567.37	658	380	929
566.65	684	434	930
562.95	664	411	931
575.2	681	476	932
567.85	662	453	933
565.79	648	477	934
559.53	667	457	936
571.09	680	454	939
567.42	657	491	943
579.36	716	472	944
568.8	669	385	945
580.02	698	448	946
575.91	679	459	947
582.2	696	423	947
583.22	674	470	949
570.63	663	468	950
568.63	681	470	952
579.73	695	451	954
577.19	676	480	958
583.81	729	459	960
583.15	674	398	961
591.09	707	448	961
583.92	684	455	962
584.01	697	434	963
594	680	461	964
578.18	668	478	966
585.27	691	484	967
584.39	680	464	969
588.03	695	488	972
591.78	730	451	976
591.06	689	457	977
596.64	698	413	977
596.42	718	470	978
588.46	692	443	979
605.99	705	472	980
591.14	677	477	981
588.59	695	476	983
595.56	703	501	985
595.81	709	479	988
598.74	704	457	992
604.62	741	470	992
605.63	695	421	993
604.95	732	470	994
595.13	700	456	995
614.63	709	497	996
603.31	695	455	997
597.57	688	489	999
600.51	712	491	1000
611.14	724	479	1003
604.2	709	500	1007
616.85	754	471	1008
607.19	705	430	1009
613.73	745	485	1010
613.73	713	485	1011
619.01	720	469	1012
617.69	709	468	1013
607.56	701	497	1014
607.32	727	496	1016
619.11	735	471	1018
615.2	717	514	1022
620.56	764	477	1024
621.99	710	445	1025
626.39	760	467	1025
620.74	720	492	1026
623.47	730	483	1027
628.77	726	476	1028
617.48	711	499	1030
619.84	737	510	1031
624.47	735	480	1033
626.67	746	525	1037
628.95	779	490	1040
629.84	738	497	1041
634.51	726	460	1041
634.15	772	514	1042
628.56	730	490	1043
642.14	745	478	1044
629	724	504	1045
625.72	748	511	1047
632.4	743	549	1049
634.25	755	493	1052
635.6	752	494	1056
644.08	786	510	1056
645.89	734	475	1057
643.45	783	485	1058
631.44	745	497	1059
653.96	760	532	1060
641.34	746	488	1061
636.18	760	496	1063
638.1	735	524	1064
648.41	766	504	1067
641.69	742	525	1071
654.31	790	484	1072
648.48	746	490	1073
651.72	798	500	1074
649.37	752	506	1075
658.54	771	512	1076
655.12	758	497	1077
647.03	748	534	1078
640.49	774	489	1080
658.42	773	514	1082
654.16	752	512	1086
658.78	800	493	1088
658.16	756	501	1089
665.83	810	512	1090
659.52	767	518	1090
663.34	782	527	1091
665.36	759	507	1092
652.38	753	533	1094
655.98	788	498	1096
662.26	777	527	1098
664.19	783	562	1101
667.41	802	497	1104
667.71	769	513	1105
673.95	783	525	1105
672.74	814	551	1106
665.48	769	530	1107
678.87	789	512	1108
665.2	759	538	1109
663.11	801	507	1111
670.78	761	577	1113
670.3	785	542	1116
674.15	788	511	1120
679.9	816	518	1120
683.77	770	523	1121
684.63	828	553	1122
665.98	795	541	1123
692.97	802	574	1124
676.21	774	508	1125
674.1	813	522	1127
676.27	766	553	1128
683.15	796	555	1131
679.22	784	522	1135
691.23	830	563	1136
687.19	783	509	1137
689.82	843	526	1138
683.78	804	554	1139
700.96	817	559	1140
689.09	789	520	1141
685.79	774	568	1142
676.63	825	535	1144
696.14	809	566	1147
690.49	789	562	1151
695.82	819	536	1152
693.59	801	522	1153
703.99	858	538	1154
697.69	810	566	1154
703.11	831	568	1155
703.47	807	533	1156
687.92	794	566	1158
692.06	840	543	1160
700	817	574	1162
701.93	822	610	1165
704.42	831	541	1168
704.47	816	530	1169
710.36	835	551	1169
708.69	873	559	1170
705.91	805	580	1171
715.47	833	545	1172
700.96	806	579	1174
701.6	853	551	1175
708.79	815	618	1177
710.88	836	576	1180
711.01	825	553	1184
717.52	844	541	1184
720.34	822	563	1185
720.41	888	568	1186
706.49	813	589	1187
729.75	847	604	1188
714.81	830	560	1189
709.57	868	558	1191
712.65	811	588	1193
723.94	844	581	1195
717.05	824	566	1200
728.19	855	558	1200
726.74	837	552	1201
728.68	896	575	1202
721.07	831	585	1203
